"filename", "language", "HTML", "TypeScript", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"e:\project\arc\EcoSort\EcoSort\src\common\assets\loading\loadingLogo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\book.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\headphone.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\message-question.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\personalcard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\security-user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\setting.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\tabbar\indexIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\tabbar\indexIconAct.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\tabbar\mineIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\exam\examBank.ts", "TypeScript", 0, 96, 0, 0, 0, 0, 2, 98
"e:\project\arc\EcoSort\EcoSort\src\common\test\constValue.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 2, 30
"e:\project\arc\EcoSort\EcoSort\src\common\type\loadingImg.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 3, 30
"e:\project\arc\EcoSort\EcoSort\src\common\utils\handleGetImg.ts", "TypeScript", 0, 86, 0, 0, 0, 4, 4, 94
"e:\project\arc\EcoSort\EcoSort\src\common\utils\handleLogin.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 5, 38
"e:\project\arc\EcoSort\EcoSort\src\common\utils\qiniu.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 5, 74
"e:\project\arc\EcoSort\EcoSort\src\common\utils\request.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 11, 98
"e:\project\arc\EcoSort\EcoSort\src\components\AlbumWindow\AlbumWindow1.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 6, 56
"e:\project\arc\EcoSort\EcoSort\src\components\AlbumWindow\style.scss", "SCSS", 0, 0, 41, 0, 0, 0, 5, 46
"e:\project\arc\EcoSort\EcoSort\src\components\MyNavigation\myNavigation.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 5, 45
"e:\project\arc\EcoSort\EcoSort\src\components\MyNavigation\style.scss", "SCSS", 0, 0, 23, 0, 0, 0, 1, 24
"e:\project\arc\EcoSort\EcoSort\src\components\classifyList\classifyList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"e:\project\arc\EcoSort\EcoSort\src\components\classifyList\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"e:\project\arc\EcoSort\EcoSort\src\components\classifycamera\AlbumWindow\albumWindow.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 4, 54
"e:\project\arc\EcoSort\EcoSort\src\components\classifycamera\AlbumWindow\style.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 17
"e:\project\arc\EcoSort\EcoSort\src\components\classifycamera\classifyWindow\classifycamera.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 8, 122
"e:\project\arc\EcoSort\EcoSort\src\components\classifycamera\classifyWindow\style.scss", "SCSS", 0, 0, 78, 0, 0, 1, 2, 81
"e:\project\arc\EcoSort\EcoSort\src\components\examChoice\examChoice.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 6, 89
"e:\project\arc\EcoSort\EcoSort\src\components\examChoice\style.scss", "SCSS", 0, 0, 74, 0, 0, 0, 1, 75
"e:\project\arc\EcoSort\EcoSort\src\components\indexContent\indexContent.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 3, 30
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\community\community.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 6, 103
"e:\project\arc\EcoSort\EcoSort\src\components\indexProfile\community\style.scss", "SCSS", 0, 0, 63, 0, 0, 0, 1, 64
